MP ID,Formula,Band Gap (eV),energy_above_hull (eV/atom),Left End (V),Right End (V),Window Length (V),label
mp-1026818,SrLiMg14,0.0,0.083335476,0.123710958,4.10958736,3.985876402,1
mp-1208619,SrLiGaF6,0.0,0.0,2.264558089,6.70267979,4.438121701,1
mp-559277,SrLiFeF6,4.1343,0.0,3.252387348,6.362947869,3.110560522,1
mp-1208634,SrLiCrF6,4.3642,0.0,2.32827181,5.76554352,3.43727171,1
mp-10814,SrLiBO3,4.3589,0.0,0.321847702,3.547657859,3.225810157,1
mp-1195827,SrLiAlF6,7.3233,0.001454987,1.04571378,6.587309953,5.541596173,1
mp-555089,SrLi4Ca(SiO4)2,5.0666,0.0,0.320537167,3.502675324,3.182138158,1
mp-1191141,SrLi2SiO4,4.6041,0.0,0.245807279,3.465133768,3.219326489,1
mp-554003,Sr4Li(BO3)3,4.1806,0.017461012,0.494299231,3.547657859,3.053358628,1
mp-556066,Sr2LiSiO4F,4.7908,0.015108044,0.366792743,3.465133768,3.098341026,1
mp-1176564,LiTmO2,4.1825,0.0,0.005122867,3.046983383,3.041860516,1
mp-1211079,LiTb6B3O14,4.7094,0.0,0.885087007,4.359479109,3.474392102,1
mp-1080679,LiTaF6,5.9035,0.0,1.870146266,7.228978692,5.358832426,1
mp-5840,LiScO2,3.904,0.0,0.005122867,3.435977917,3.43085505,1
mp-1176640,LiMnCrO4,1.3136,0.07324417,1.322032995,4.533350062,3.211317067,1
mp-1031514,LiMg6AlO8,3.4881,0.06045541,0.174436674,3.482086921,3.307650247,1
mp-1038204,LiMg30AlO32,4.4757,0.008093283,0.174436674,3.482086921,3.307650247,1
mp-1036528,LiMg14AlO16,4.0819,0.031693192,0.174436674,3.482086921,3.307650247,1
mp-1176675,LiLuO2,4.3334,0.001984229,0.005122867,3.172047209,3.166924342,1
mp-6521,LiLaTiO4,2.2637,0.028770968,0.50700067,3.537178769,3.030178099,1
mp-1222363,LiLa4AlO8,2.545,0.059649001,0.214963272,3.236310699,3.021347427,1
mp-766995,LiLa3Ti2O9,2.362,0.030498589,0.50700067,3.537178769,3.030178099,1
mp-28122,LiGdCl4,0.9065,0.001737418,0.752936232,4.278971435,3.526035203,1
mp-22905,LiCl,6.25,0.0,0.005122867,4.278971435,4.273848568,1
mp-23259,LiBr,4.9234,0.009895713,0.005122867,3.676911935,3.671789068,1
mp-3427,LiAlO2,4.5899,0.014060454,0.174436674,3.482086921,3.307650247,1
mp-559708,Li6ZrBeF12,6.1894,0.012815054,1.212524631,6.35295487,5.140430239,1
mp-5418,Li6Zr2O7,3.837,0.0,0.051594321,3.203437675,3.151843353,1
mp-770805,Li6Hf2O7,3.9985,0.001067639,0.005122867,3.179878185,3.174755318,1
mp-9308,Li4ZrF8,5.968,0.0,1.212524631,6.35295487,5.140430239,1
mp-1177252,Li4TiO4,3.3205,0.078020774,0.125990712,3.180958825,3.054968113,1
mp-11737,Li4SiO4,4.7841,0.0,0.264515474,3.363056132,3.098540658,1
mp-754877,Li4Mn3Cr3O12,0.2592,0.195028261,1.322032995,4.533350062,3.211317067,1
mp-557467,Li4Ca(BO3)2,4.7254,0.0,0.409905527,3.507474357,3.09756883,1
mp-1147619,Li3YBr6,4.1363,0.025650272,0.5935732,3.676911935,3.083338735,1
mp-755289,Li3Y3ZrO8,4.1806,0.044269455,0.075816116,3.203437675,3.127621559,1
mp-3151,Li3TaO4,4.2438,0.0,0.553352016,3.574471947,3.021119931,1
mp-1111281,Li3TaF6,0.0,0.500173144,1.870146266,7.228978692,5.358832426,1
mp-1111282,Li3ScF6,5.9413,0.238894343,0.605770102,6.337012063,5.731241961,1
mp-1111284,Li3ScCl6,3.7806,0.244247308,0.915540389,4.278971435,3.363431046,1
mp-13725,Li3PO4,5.8181,0.0,0.692308721,4.198035405,3.505726684,1
mp-756884,Li3Mn2Cr2O8,0.1289,0.180053423,1.322032995,4.533350062,3.211317067,1
mp-1111076,Li3GaF6,5.7707,0.193452356,2.278899173,6.489198847,4.210299674,1
mp-676361,Li3ErCl6,5.2109,0.0,0.7192705,4.279944085,3.560673585,1
mp-37873,Li3ErBr6,4.3485,0.002015754,0.6711584,6.68266547,6.01150707,1
mp-27275,Li3BO3,5.1473,0.0,0.299830044,3.433175805,3.133345761,1
mp-1111291,Li3AlF6,6.5056,0.181149863,1.060126778,6.453404343,5.393277564,1
mp-4156,Li2ZrO3,3.7336,0.0,0.349762784,3.375784113,3.026021329,1
mp-4002,Li2ZrF6,6.4774,0.004588797,1.244410246,6.531078507,5.28666826,1
mp-1222656,Li2TiO3,2.0702,0.023653146,0.50700067,3.688514617,3.181513947,1
mp-561011,Li2Ta2(OF2)3,3.8336,0.0,1.704816333,4.835294712,3.130478379,1
mp-1222624,Li2SO4,3.9196,0.267635079,1.638954173,4.656367089,3.017412915,1
mp-1193269,Li2SiF6,8.0844,0.0,1.835811815,6.653224458,4.817412643,1
mp-1101152,Li2MnCrO4,0.9299,0.053635095,1.322032995,4.533350062,3.211317067,1
mp-850956,Li2Mn3Cr3O12,0.0927,0.12871898,1.322032995,4.533350062,3.211317067,1
mp-1222626,Li2MgZrO4,2.9598,0.016150632,0.349762784,3.375784113,3.026021329,1
mp-11189,Li2MgSiO4,4.9405,0.0,0.521029905,3.71853146,3.197501555,1
mp-38684,Li2MgCl4,5.2764,0.008656791,0.891494509,4.278971435,3.387476926,1
mp-2724101,Li2HfO3,4.0573,0.0,0.105832217,3.4624904,3.356658183,1
mp-560036,Li2Ca3Be3Si3(O6F)2,5.8431,0.0,0.986660927,4.02026884,3.033607913,1
mp-554159,Li2BeSiO4,5.7741,0.00565924,0.508054725,3.874764113,3.366709388,1
mp-4622,Li2BeF4,7.7223,0.0,0.887456421,6.457581193,5.570124773,1
mp-530738,Li10Mg7Cl24,4.4386,0.010825446,0.891494509,4.278971435,3.387476926,1
mp-555845,BaLiZr2F11,5.7585,0.005116611,1.423915149,6.472624805,5.048709656,1
mp-10250,BaLiF3,6.5643,0.02190322,0.09103589,6.04909797,5.95806208,1
mp-6499,BaLiBO3,4.489,0.0,0.261028295,3.606056516,3.345028221,1
mp-543044,BaLiAlF6,7.4521,0.0,1.026736741,6.439490587,5.412753847,1
mp-558310,BaLi2SiO4,4.3955,0.0,0.279909726,3.398133317,3.118223591,1
mp-1183402,BaLi(B3O5)3,5.8511,0.005671803,1.274278954,4.791703137,3.517424182,1
mp-16792,Ba4LiTa3O12,3.1133,0.0,0.324610823,3.808847275,3.484236452,1
mp-18274,Ba4LiNb3O12,2.5798,0.0,0.57984592,3.614780506,3.034934586,1
mp-1218231,SrLiY2(BO3)3,4.1234,0.0,0.87177008,3.62995851,2.758188431,0
mp-759976,SrLiVPO6,1.9746,0.086531238,2.844428346,2.890367918,0.045939572,0
mp-1208625,SrLiVF6,2.6226,0.0,2.195550865,4.18285971,1.987308845,0
mp-1097176,SrLiTl2,0.0,1.413068843,0.25330746,0.309809905,0.056502445,0
mp-1208599,SrLiTiF6,0.0,0.018110192,1.441912842,1.901512615,0.459599773,0
mp-1173163,SrLiTi4CrO11,2.0336,0.029296464,1.912982337,3.377465733,1.464483396,0
mp-1208707,SrLiTi3Cr2O11,0.2061,0.035010056,3.195220347,3.377465733,0.182245386,0
mp-39387,SrLiTa2O6F,3.7399,0.019688611,1.145051426,3.92782358,2.782772154,0
mp-1522292,SrLiSnSbO6,0.114,0.183074924,2.060126223,3.495907939,1.435781716,0
mp-1208612,SrLiSi,0.0,0.090328831,0.090616612,0.098177917,0.007561305,0
mp-1100426,SrLiSb,0.9662,0.586379535,0.005122867,0.987597125,0.982474258,0
mp-39144,SrLiPrTeO6,3.4614,0.017087509,1.966055351,3.754222222,1.788166871,0
mp-1208633,SrLiPO4,4.4543,0.023669295,1.131648177,3.931599277,2.7999511,0
mp-10614,SrLiP,0.8099,0.079642387,0.005122867,0.844486212,0.839363345,0
mp-1187183,SrLiO3,0.0,0.287957961,2.889576135,3.227851723,0.338275588,0
mp-559663,SrLiNiF6,0.0,0.0,5.450581115,6.02510907,0.574527955,0
mp-1235083,SrLiNdCoO4,1.6196,0.138056071,1.839137972,1.87533844,0.036200468,0
mp-753719,SrLiNb2O6F,1.7656,0.032498097,1.692019934,3.939660339,2.247640405,0
mp-29754,SrLiN,0.2574,0.0,0.23881408,0.447636545,0.208822465,0
